2016-08-03 15:22:06 startup archives install
2016-08-03 15:22:06 install base-passwd:arm64 <none> 3.5.33
2016-08-03 15:22:06 status half-installed base-passwd:arm64 3.5.33
2016-08-03 15:22:06 status unpacked base-passwd:arm64 3.5.33
2016-08-03 15:22:06 status unpacked base-passwd:arm64 3.5.33
2016-08-03 15:22:06 configure base-passwd:arm64 3.5.33 3.5.33
2016-08-03 15:22:06 status unpacked base-passwd:arm64 3.5.33
2016-08-03 15:22:06 status half-configured base-passwd:arm64 3.5.33
2016-08-03 15:22:06 status installed base-passwd:arm64 3.5.33
2016-08-03 15:22:06 startup archives install
2016-08-03 15:22:06 install base-files:arm64 <none> 7.2ubuntu5
2016-08-03 15:22:06 status half-installed base-files:arm64 7.2ubuntu5
2016-08-03 15:22:06 status unpacked base-files:arm64 7.2ubuntu5
2016-08-03 15:22:06 status unpacked base-files:arm64 7.2ubuntu5
2016-08-03 15:22:06 configure base-files:arm64 7.2ubuntu5 7.2ubuntu5
2016-08-03 15:22:06 status unpacked base-files:arm64 7.2ubuntu5
2016-08-03 15:22:06 status unpacked base-files:arm64 7.2ubuntu5
2016-08-03 15:22:06 status unpacked base-files:arm64 7.2ubuntu5
2016-08-03 15:22:06 status unpacked base-files:arm64 7.2ubuntu5
2016-08-03 15:22:06 status unpacked base-files:arm64 7.2ubuntu5
2016-08-03 15:22:06 status unpacked base-files:arm64 7.2ubuntu5
2016-08-03 15:22:06 status unpacked base-files:arm64 7.2ubuntu5
2016-08-03 15:22:06 status unpacked base-files:arm64 7.2ubuntu5
2016-08-03 15:22:06 status unpacked base-files:arm64 7.2ubuntu5
2016-08-03 15:22:06 status unpacked base-files:arm64 7.2ubuntu5
2016-08-03 15:22:06 status unpacked base-files:arm64 7.2ubuntu5
2016-08-03 15:22:06 status unpacked base-files:arm64 7.2ubuntu5
2016-08-03 15:22:06 status half-configured base-files:arm64 7.2ubuntu5
2016-08-03 15:22:06 status installed base-files:arm64 7.2ubuntu5
2016-08-03 15:22:06 startup archives install
2016-08-03 15:22:06 upgrade dpkg 1.17.5ubuntu5 1.17.5ubuntu5
2016-08-03 15:22:06 status half-configured dpkg 1.17.5ubuntu5
2016-08-03 15:22:06 status unpacked dpkg 1.17.5ubuntu5
2016-08-03 15:22:06 status half-installed dpkg 1.17.5ubuntu5
2016-08-03 15:22:07 status half-installed dpkg 1.17.5ubuntu5
2016-08-03 15:22:07 status unpacked dpkg 1.17.5ubuntu5
2016-08-03 15:22:07 status unpacked dpkg 1.17.5ubuntu5
2016-08-03 15:22:07 configure dpkg 1.17.5ubuntu5 1.17.5ubuntu5
2016-08-03 15:22:07 status unpacked dpkg 1.17.5ubuntu5
2016-08-03 15:22:07 status unpacked dpkg 1.17.5ubuntu5
2016-08-03 15:22:07 status unpacked dpkg 1.17.5ubuntu5
2016-08-03 15:22:07 status unpacked dpkg 1.17.5ubuntu5
2016-08-03 15:22:07 status unpacked dpkg 1.17.5ubuntu5
2016-08-03 15:22:07 status half-configured dpkg 1.17.5ubuntu5
2016-08-03 15:22:07 status installed dpkg 1.17.5ubuntu5
2016-08-03 15:22:07 startup archives install
2016-08-03 15:22:07 install libc6:arm64 <none> 2.19-0ubuntu6
2016-08-03 15:22:07 status half-installed libc6:arm64 2.19-0ubuntu6
2016-08-03 15:22:07 status unpacked libc6:arm64 2.19-0ubuntu6
2016-08-03 15:22:07 status unpacked libc6:arm64 2.19-0ubuntu6
2016-08-03 15:22:07 configure libc6:arm64 2.19-0ubuntu6 2.19-0ubuntu6
2016-08-03 15:22:07 status unpacked libc6:arm64 2.19-0ubuntu6
2016-08-03 15:22:07 status unpacked libc6:arm64 2.19-0ubuntu6
2016-08-03 15:22:07 status half-configured libc6:arm64 2.19-0ubuntu6
2016-08-03 15:22:07 status installed libc6:arm64 2.19-0ubuntu6
2016-08-03 15:22:07 startup archives install
2016-08-03 15:22:07 install perl-base:arm64 <none> 5.18.2-2ubuntu1
2016-08-03 15:22:07 status half-installed perl-base:arm64 5.18.2-2ubuntu1
2016-08-03 15:22:08 status unpacked perl-base:arm64 5.18.2-2ubuntu1
2016-08-03 15:22:08 status unpacked perl-base:arm64 5.18.2-2ubuntu1
2016-08-03 15:22:08 configure perl-base:arm64 5.18.2-2ubuntu1 5.18.2-2ubuntu1
2016-08-03 15:22:08 status unpacked perl-base:arm64 5.18.2-2ubuntu1
2016-08-03 15:22:08 status half-configured perl-base:arm64 5.18.2-2ubuntu1
2016-08-03 15:22:08 status installed perl-base:arm64 5.18.2-2ubuntu1
2016-08-03 15:22:08 startup archives install
2016-08-03 15:22:08 install mawk:arm64 <none> 1.3.3-17ubuntu2
2016-08-03 15:22:08 status half-installed mawk:arm64 1.3.3-17ubuntu2
2016-08-03 15:22:08 status unpacked mawk:arm64 1.3.3-17ubuntu2
2016-08-03 15:22:08 status unpacked mawk:arm64 1.3.3-17ubuntu2
2016-08-03 15:22:08 configure mawk:arm64 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2016-08-03 15:22:08 status unpacked mawk:arm64 1.3.3-17ubuntu2
2016-08-03 15:22:08 status half-configured mawk:arm64 1.3.3-17ubuntu2
2016-08-03 15:22:08 status installed mawk:arm64 1.3.3-17ubuntu2
2016-08-03 15:22:08 startup archives unpack
2016-08-03 15:22:08 install adduser:all <none> 3.113+nmu3ubuntu3
2016-08-03 15:22:08 status half-installed adduser:all 3.113+nmu3ubuntu3
2016-08-03 15:22:08 status unpacked adduser:all 3.113+nmu3ubuntu3
2016-08-03 15:22:08 status unpacked adduser:all 3.113+nmu3ubuntu3
2016-08-03 15:22:08 upgrade base-files:arm64 7.2ubuntu5 7.2ubuntu5
2016-08-03 15:22:08 status half-configured base-files:arm64 7.2ubuntu5
2016-08-03 15:22:08 status unpacked base-files:arm64 7.2ubuntu5
2016-08-03 15:22:08 status half-installed base-files:arm64 7.2ubuntu5
2016-08-03 15:22:08 status half-installed base-files:arm64 7.2ubuntu5
2016-08-03 15:22:08 status unpacked base-files:arm64 7.2ubuntu5
2016-08-03 15:22:08 status unpacked base-files:arm64 7.2ubuntu5
2016-08-03 15:22:08 upgrade base-passwd:arm64 3.5.33 3.5.33
2016-08-03 15:22:08 status half-configured base-passwd:arm64 3.5.33
2016-08-03 15:22:08 status unpacked base-passwd:arm64 3.5.33
2016-08-03 15:22:08 status half-installed base-passwd:arm64 3.5.33
2016-08-03 15:22:08 status half-installed base-passwd:arm64 3.5.33
2016-08-03 15:22:08 status unpacked base-passwd:arm64 3.5.33
2016-08-03 15:22:08 status unpacked base-passwd:arm64 3.5.33
2016-08-03 15:22:08 install bash:arm64 <none> 4.3-6ubuntu1
2016-08-03 15:22:08 status half-installed bash:arm64 4.3-6ubuntu1
2016-08-03 15:22:08 status unpacked bash:arm64 4.3-6ubuntu1
2016-08-03 15:22:08 status unpacked bash:arm64 4.3-6ubuntu1
2016-08-03 15:22:08 install bsdutils:arm64 <none> 1:2.20.1-5.1ubuntu20
2016-08-03 15:22:08 status half-installed bsdutils:arm64 1:2.20.1-5.1ubuntu20
2016-08-03 15:22:08 status unpacked bsdutils:arm64 1:2.20.1-5.1ubuntu20
2016-08-03 15:22:08 status unpacked bsdutils:arm64 1:2.20.1-5.1ubuntu20
2016-08-03 15:22:08 install busybox-initramfs:arm64 <none> 1:1.21.0-1ubuntu1
2016-08-03 15:22:08 status half-installed busybox-initramfs:arm64 1:1.21.0-1ubuntu1
2016-08-03 15:22:08 status unpacked busybox-initramfs:arm64 1:1.21.0-1ubuntu1
2016-08-03 15:22:08 status unpacked busybox-initramfs:arm64 1:1.21.0-1ubuntu1
2016-08-03 15:22:08 install coreutils:arm64 <none> 8.21-1ubuntu5
2016-08-03 15:22:08 status half-installed coreutils:arm64 8.21-1ubuntu5
2016-08-03 15:22:09 status unpacked coreutils:arm64 8.21-1ubuntu5
2016-08-03 15:22:09 status unpacked coreutils:arm64 8.21-1ubuntu5
2016-08-03 15:22:09 install cpio:arm64 <none> 2.11+dfsg-1ubuntu1
2016-08-03 15:22:09 status half-installed cpio:arm64 2.11+dfsg-1ubuntu1
2016-08-03 15:22:09 status unpacked cpio:arm64 2.11+dfsg-1ubuntu1
2016-08-03 15:22:09 status unpacked cpio:arm64 2.11+dfsg-1ubuntu1
2016-08-03 15:22:09 install dash:arm64 <none> 0.5.7-4ubuntu1
2016-08-03 15:22:09 status half-installed dash:arm64 0.5.7-4ubuntu1
2016-08-03 15:22:09 status unpacked dash:arm64 0.5.7-4ubuntu1
